vendor,device,device_kind,parent_device,processor,processor_units,core,core_version,fpu,endian,dsp,mve,trustzone,mpu,clock_hz,rust_target,source_pack_vendor,source_pack_name,source_pack_version,source_url,source_pdsc
ABOV Semiconductor,A31G112KNN,variant,A31G112,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G112KUN,variant,A31G112,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G112KYN,variant,A31G112,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G112LUN,variant,A31G112,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G112SQN,variant,A31G112,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G122,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G122,device,,,,Cortex-M0+,r0p1,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31G1xx_Series,2.5.0,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31G1xx_Series.pdsc
ABOV Semiconductor,A31G122MLN,variant,A31G122,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G122MMN,variant,A31G122,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G122RLN,variant,A31G122,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G122RMN,variant,A31G122,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G123,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G123,device,,,,Cortex-M0+,r0p1,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31G1xx_Series,2.5.0,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31G1xx_Series.pdsc
ABOV Semiconductor,A31G123CLN,variant,A31G123,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G123MLN,variant,A31G123,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G123MMN,variant,A31G123,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G123RLN,variant,A31G123,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G123RMN,variant,A31G123,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G123RNN,variant,A31G123,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G123SQN,variant,A31G123,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G212,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31G21x_Series,1.5.1,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31G21x_Series.pdsc
ABOV Semiconductor,A31G212,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G212CLN,variant,A31G212,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G212GRN,variant,A31G212,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G212KNN,variant,A31G212,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G212SQN,variant,A31G212,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
